日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-01-03,payment,β.5C.日用雑貨,小型家電(1万未満),Amazon.co.jp,-,"Anker PowerLine III Flow USB-C & USB-C ケーブル Anker絡まないケーブル 240W 結束バンド付き USB PD対応 シリコン素材採用 iPhone 17 / 16 / 15 Galaxy iPad Pro ・・・",,Amazon.co.jp,JPY,0,1490,0,0,1490,常に集計に含める
2026-01-03,payment,β.5C.日用雑貨,消耗品,"三井住友カード プラチナ プラチナプリファード",-,,,Amazon.co.jp,JPY,0,4680,0,0,4680,集計に含めない
2026-01-03,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,630,0,0,630,常に集計に含める
2026-01-03,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,630,0,0,630,常に集計に含める
2026-01-03,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,330,0,0,330,常に集計に含める
2026-01-03,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,330,0,0,330,常に集計に含める
2026-01-04,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,330,330,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,伊藤園おーいお茶緑茶レ,,"バロー 車道店",JPY,0,118,0,0,118,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,VS烏龍茶,,"バロー 車道店",JPY,0,58,0,0,58,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,北欧倶楽部98円,,"バロー 車道店",JPY,0,294,0,0,294,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,チーズフランス(バジル),,"バロー 車道店",JPY,0,158,0,0,158,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,アルペンザルツの北欧塩パ,,"バロー 車道店",JPY,0,98,0,0,98,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,外税,,"バロー 車道店",JPY,0,58,0,0,58,常に集計に含める
2026-01-04,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,784,784,常に集計に含める
2026-01-04,payment,β.6.1C.エ/交際/被服/趣味,服4_大塚屋,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,5点)内,,"株式会社大塚屋 車道本店",JPY,0,330,0,0,330,常に集計に含める
2026-01-04,payment,β.6.1C.エ/交際/被服/趣味,服4_大塚屋,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,徳用ゴムベルト30mm,,"株式会社大塚屋 車道本店",JPY,0,792,0,0,792,常に集計に含める
2026-01-04,payment,β.6.1C.エ/交際/被服/趣味,服4_大塚屋,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,シャッペスパン60/200m内,,"株式会社大塚屋 車道本店",JPY,0,209,0,0,209,常に集計に含める
2026-01-04,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,1331,1331,常に集計に含める
2026-01-04,payment,β.6.1C.エ/交際/被服/趣味,服4_大塚屋,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,50内,,"株式会社大塚屋 車道本店",JPY,0,1825,0,0,1825,常に集計に含める
2026-01-04,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,1825,1825,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,スマートレシート,-,北海道牛乳,,"アオキスーパー 豊明店",JPY,0,228,0,0,228,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,スマートレシート,-,混ぜ込みわかめさつまいも,,"アオキスーパー 豊明店",JPY,0,128,0,0,128,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,スマートレシート,-,てるたま10個入,,"アオキスーパー 豊明店",JPY,0,268,0,0,268,常に集計に含める
2026-01-04,payment,β.2C.食費,食料品,スマートレシート,-,税金・値引き,,"アオキスーパー 豊明店",JPY,0,49,0,0,49,常に集計に含める
2026-01-04,payment,β.5C.日用雑貨,消耗品,"三井住友カード プラチナ プラチナプリファード",-,,,"アイシティ メガワールド徳重",JPY,0,4114,0,0,4114,常に集計に含める
2026-01-04,payment,β.6.1C.エ/交際/被服/趣味,服1_衣服/アクセサリ,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,ユニクロ,JPY,0,7950,0,0,7950,常に集計に含める
2026-01-04,balance,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,-,JPY,0,0,0,1825,1825,常に集計に含める
2026-01-04,balance,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,-,JPY,0,0,0,1331,1331,常に集計に含める
2026-01-04,balance,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,-,JPY,0,0,0,784,784,常に集計に含める
2026-01-04,balance,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,-,JPY,0,0,0,330,330,常に集計に含める
2026-01-04,payment,β.8C.交通,ガソリン代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,出光興産,JPY,0,5000,0,0,5000,常に集計に含める
2026-01-04,payment,"γ.6.2C 自己投資・寄付","不動産投資 関連(経費)","アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"PAYPAL *SAQ ライフ（スーパー）",JPY,0,12870,0,0,12870,常に集計に含める
2026-01-04,payment,β.8C.交通,電車,"Suica Watch-3402",-,,"TP市地徳 - TP新瑞橋",交通機関,JPY,0,270,0,0,270,常に集計に含める
2026-01-04,payment,β.8C.交通,電車,"Suica Watch-3402",-,,"TP新瑞橋 - TP市地徳",交通機関,JPY,0,270,0,0,270,常に集計に含める
2026-01-04,payment,β.5C.日用雑貨,消耗品,"au PAY まさはる",-,,,セリア,JPY,0,330,0,0,330,常に集計に含める
2026-01-04,payment,β.8C.交通,電車,"Suica ""C"" iphone",-,,"TP市地徳 - TP車道",交通機関,JPY,0,310,0,0,310,常に集計に含める
2026-01-04,payment,β.8C.交通,電車,"Suica ""C"" iphone",-,,"TP車道 - TP市地徳",交通機関,JPY,0,310,0,0,310,常に集計に含める
2026-01-05,payment,δ.19F.賃貸経営(法人),税理士報酬(法人),"★PayPay銀行 普通預金 ****600",-,,,ZHゼイリシホウシユウ,JPY,0,18700,0,0,18700,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,し)かりネ綿厚揚げ,,"ハローフーヅ 豊明店",JPY,0,118,0,0,118,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,割引,,"ハローフーヅ 豊明店",JPY,0,-12,0,0,-12,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,"ji'L,ミ・ノチ中",,"ハローフーヅ 豊明店",JPY,0,295,0,0,295,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,割引,,"ハローフーヅ 豊明店",JPY,0,-30,0,0,-30,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,1tW°1,,"ハローフーヅ 豊明店",JPY,0,289,0,0,289,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,ノI、ヨ+,,"ハローフーヅ 豊明店",JPY,0,746,0,0,746,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,"鯖諜1\圃",,"ハローフーヅ 豊明店",JPY,0,805,0,0,805,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,外税,,"ハローフーヅ 豊明店",JPY,0,59,0,0,59,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,不明,,"ハローフーヅ 豊明店",JPY,0,-1465,0,0,-1465,常に集計に含める
2026-01-05,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,805,805,常に集計に含める
2026-01-05,payment,γ.10.2F.こども学費/結婚_固定,"円香 学費",★名古屋銀行(生活子ども),-,,,キユウシヨクヒトウ,JPY,0,7240,0,0,7240,常に集計に含める
2026-01-05,payment,γ.10.2F.こども学費/結婚_固定,"珠己 学費",★名古屋銀行(生活子ども),-,,,キユウシヨクヒトウ,JPY,0,5740,0,0,5740,常に集計に含める
2026-01-05,payment,γ.10.2F.こども学費/結婚_固定,"紗和 学費",★名古屋銀行(生活子ども),-,,,キユウシヨクヒトウ,JPY,0,3360,0,0,3360,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,P超熟山型6枚,,"アオキスーパー 豊明店",JPY,0,158,0,0,158,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,Nごろグラチョコナッツ,,"アオキスーパー 豊明店",JPY,0,398,0,0,398,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,P牛乳ミルクコーヒー,,"アオキスーパー 豊明店",JPY,0,108,0,0,108,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,御殿場高原あらびきポーク,,"アオキスーパー 豊明店",JPY,0,298,0,0,298,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,"金のつぶ とろっ豆","商品数量 * 2","アオキスーパー 豊明店",JPY,0,196,0,0,196,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,"若鶏ムネ肉2枚入 国産",,"アオキスーパー 豊明店",JPY,0,555,0,0,555,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,おいしいって幸せバナナ,,"アオキスーパー 豊明店",JPY,0,100,0,0,100,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,Gプリッツ旨サラダ,,"アオキスーパー 豊明店",JPY,0,200,0,0,200,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,招福豆,,"アオキスーパー 豊明店",JPY,0,98,0,0,98,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,テリヤキミートボール,,"アオキスーパー 豊明店",JPY,0,298,0,0,298,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,モーニングサラダ,,"アオキスーパー 豊明店",JPY,0,118,0,0,118,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,"粋 生姜天","商品数量 * 2","アオキスーパー 豊明店",JPY,0,216,0,0,216,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,"伊賀屋食品 木綿とうふ",,"アオキスーパー 豊明店",JPY,0,118,0,0,118,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,アスナ緑豆もやし200g,,"アオキスーパー 豊明店",JPY,0,28,0,0,28,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,きゅうり（徳用）,,"アオキスーパー 豊明店",JPY,0,158,0,0,158,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,ピーマン,,"アオキスーパー 豊明店",JPY,0,100,0,0,100,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,ぶなしめじ,,"アオキスーパー 豊明店",JPY,0,100,0,0,100,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,水菜,,"アオキスーパー 豊明店",JPY,0,128,0,0,128,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,"ネスレ キットカット",,"アオキスーパー 豊明店",JPY,0,298,0,0,298,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,アボカド,,"アオキスーパー 豊明店",JPY,0,100,0,0,100,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,ダノンビオプレーン加糖,"商品数量 * 2","アオキスーパー 豊明店",JPY,0,316,0,0,316,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,"まとめ値引き（   2個）",,"アオキスーパー 豊明店",JPY,0,-16,0,0,-16,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,税金・値引き,,"アオキスーパー 豊明店",JPY,0,325,0,0,325,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,富山県産てんたかく5k,,"アオキスーパー 豊明店",JPY,0,3980,0,0,3980,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,スマートレシート,-,税金・値引き,,"アオキスーパー 豊明店",JPY,0,318,0,0,318,常に集計に含める
2026-01-05,payment,β.10.1C.こども服/雑貨/写真,子どもご飯代,お財布,-,焦がしバターのクロワ,,ファミリーマート　前後駅店,JPY,0,130,0,0,130,常に集計に含める
2026-01-05,payment,β.10.1C.こども服/雑貨/写真,子どもご飯代,お財布,-,手巻シーチキンマヨネ,,ファミリーマート　前後駅店,JPY,0,198,0,0,198,常に集計に含める
2026-01-05,payment,β.2C.食費,食料品,"三井住友カード プラチナ プラチナプリファード",-,,,"アオキスーパー 豊明店",JPY,0,4298,0,0,4298,集計に含めない
2026-01-05,payment,β.12.C.その他/使途不明,未分類,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,アオキスーパー,JPY,0,4398,0,0,4398,集計に含めない
2026-01-05,balance,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,-,JPY,0,0,0,805,805,常に集計に含める
2026-01-05,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,1040,0,0,1040,常に集計に含める
2026-01-05,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,1040,0,0,1040,常に集計に含める
2026-01-05,payment,β.5C.日用雑貨,小型家電(1万未満),Amazon.co.jp,-,"Anker 332 USB-C ハブ （5-in-1） 100W USB PD対応 4K HDMIポート5Gbps 高速データ転送 USB-C/USB-Aポート搭載",,Amazon.co.jp,JPY,0,2390,0,0,2390,常に集計に含める
2026-01-05,payment,β.12.C.その他/使途不明,ポイントバック,Amazon.co.jp,-,Amazonポイント,,Amazon.co.jp,JPY,0,-2390,0,0,-2390,常に集計に含める
2026-01-05,balance,-,-,-,Amazon.co.jp,,,-,JPY,0,0,0,17168,17168,常に集計に含める
2026-01-05,payment,β.A.C.会社費用,Edyチャージ_昼食代,"Suica Watch-3402",-,,,物販,JPY,0,180,0,0,180,常に集計に含める
2026-01-05,payment,β.20.2S.ご褒美,ご褒美(経費以外),PayPayカード,-,,,misdoネットオーダー,JPY,0,1638,0,0,1638,常に集計に含める
2026-01-06,payment,γ.10.2F.こども学費/結婚_固定,"円香 学費","★MUFG(アパート経営) 熱田519",-,,,"口座振替3 DF・M）JTBツミタテ",JPY,0,7500,0,0,7500,常に集計に含める
2026-01-06,payment,β.10.1C.こども服/雑貨/写真,こども雑貨(文具等),"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,サラサ0.5赤,,"hallo! FOODS",JPY,0,100,0,0,100,常に集計に含める
2026-01-06,payment,β.10.1C.こども服/雑貨/写真,こども雑貨(文具等),"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,セロテープ1P,,"hallo! FOODS",JPY,0,108,0,0,108,常に集計に含める
2026-01-06,payment,β.10.1C.こども服/雑貨/写真,こども雑貨(文具等),"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,外税,,"hallo! FOODS",JPY,0,20,0,0,20,常に集計に含める
2026-01-06,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,228,228,常に集計に含める
2026-01-06,payment,δ.19F.賃貸経営(個人事業),経費(個人事業),"三井住友カード プラチナ プラチナプリファード",-,,,"LEMSQZY* NOTIONSENDE",JPY,0,3402,0,0,3402,常に集計に含める
2026-01-06,payment,β.6.1C.エ/交際/被服/趣味,服1_衣服/アクセサリ,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,ZOZOTOWN,JPY,0,38280,0,0,38280,常に集計に含める
2026-01-06,payment,β.6.1C.エ/交際/被服/趣味,服1_衣服/アクセサリ,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,ZOZOTOWN,JPY,0,32890,0,0,32890,常に集計に含める
2026-01-06,payment,β.8C.交通,高速代,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,1040,0,0,1040,常に集計に含める
2026-01-06,transfer,-,-,★名古屋銀行(生活子ども),お財布,,,"ATM から現金引出",JPY,0,0,29000,0,29000,集計に含めない
2026-01-06,payment,β.A.C.会社費用,Edyチャージ_昼食代,"Suica Watch-3402",-,,,物販,JPY,0,180,0,0,180,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,パイシート,,"ハローフーヅ 豊明店",JPY,0,348,0,0,348,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,割引,,"ハローフーヅ 豊明店",JPY,0,-35,0,0,-35,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,創祐道バター,,"ハローフーヅ 豊明店",JPY,0,458,0,0,458,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,nのちから中,,"ハローフーヅ 豊明店",JPY,0,278,0,0,278,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,マスカットロネ,,"ハローフーヅ 豊明店",JPY,0,148,0,0,148,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,/1ヽ計,,"ハローフーヅ 豊明店",JPY,0,1151,0,0,1151,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,外税,,"ハローフーヅ 豊明店",JPY,0,92,0,0,92,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,不明,,"ハローフーヅ 豊明店",JPY,0,-1197,0,0,-1197,常に集計に含める
2026-01-07,balance,-,-,-,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",,,-,JPY,0,0,0,1243,1243,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,スマートレシート,-,正麺旨塩味,,"アオキスーパー 豊明店",JPY,0,348,0,0,348,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,スマートレシート,-,国産合挽中,,"アオキスーパー 豊明店",JPY,0,469,0,0,469,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,スマートレシート,-,ミニトマト,,"アオキスーパー 豊明店",JPY,0,398,0,0,398,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,スマートレシート,-,春キャベツ（半切り）,,"アオキスーパー 豊明店",JPY,0,108,0,0,108,常に集計に含める
2026-01-07,payment,β.2C.食費,食料品,スマートレシート,-,スマイルUP!ロースハム,,"アオキスーパー 豊明店",JPY,0,278,0,0,278,常に集計に含める
